Movie,Gross,Budget
BankChor ,6.93,15.00
NaamShabana ,33.25,40.00
Phillauri ,24.00,21.00
Sarkaar3,9.25,35.00
MeriPyariBindu,9.25,22.00
Noor,6.60,22.00
BegumJaan ,17.75,19.00
ManjeBistre(Punjabi) ,14.71,10.00
Machine ,3.25,25.00
Katamarayudu ,84.50,70.00
Commando2,21.90,20.00
Rangoon,19.41,70.00
GhaziAttack ,18.50,60.00
Dangal ,386.33,125.00
OkJaanu ,19.81,28.00
Befikre ,58.69,70.00
DearZindagi,65.00,45.00
AeDilHainMushkil ,107.25,92.00
Shivaay ,87.25,120.00
Dhoni ,127.04,104.00
Rustom,124.50,65.00
MohenjoDaro,56.11,115.00
Dishoom,67.00,65.00
Sultan,300.22,90.00
Pink ,63.21,26.00
Force2 ,31.73,45.00
WajahTumHo,8.90,13.00
Kahaani2,28.10,35.00
HappyBhagJayegi,27.30,18.00
RockOn2,10.60,45.00
Mirzya,8.50,35.00
TumBin2,3.50,15.00
FlyingJatt,35.55,50.00
BaarBaarDekho ,30.65,46.00
Raaz4 ,24.73,30.00
Akira,24.65,30.00
MotuPatlu,4.00,10.00
Banjo ,8.50,30.00
Parched,1.20,18.00
JanathaGarage(Telugu),125.00,40.00
FreakyAli ,13.05,19.00
Kabali(Hindi),24.00,90.00
Kabali(India),175.00,90.00
Madari,12.25,24.00
GreatGrandMasti,12.00,42.00
UdtaPunjab,58.21,48.00
Shorgul,1.25,9.00
RamanRaghav2,5.45,7.00
Sardaarji2(Punjabi),13.75,11.00
Housefull3,107.54,85.00
TE3N,18.16,28.00
Airlift ,123.43,40.00
Baaghi,75.17,47.00
Fan,83.25,105.00
Sarabjit,25.40,30.00
Veerappan,6.50,15.00
Phobia,2.75,8.00
Waiting,2.00,8.00
Azhar,31.45,38.00
Brahmotsavam,33.14,75.00
1920London,13.47,12.00
OneNightStand,2.96,14.00
"24(Tamil,Telugu)",55.00,75.00
Sairat(Marathi),80.00,4.00
Sarrainodu,63.47,45.00
LoveGames,4.00,14.00
SardaarGabbarSingh (World),52.20,70.00
SardaarGabbarSingh(Hindi),2.25,70.00
KiandKa,46.04,35.00
RockyHandsome,22.30,42.00
Kapoor&Sons,61.30,37.00
TeraSuroor,9.84,11.00
JaiGangajaal,32.56,30.00
Neerja,71.26,25.00
TereBinladen2 ,3.65,14.00
Aligarh,2.25,18.00
Loveshuda,3.00,20.00
SanamRe,21.90,20.00
Fitoor,17.68,60.00
Ghayal2 ,36.66,40.00
SanamTeriKasam ,5.55,21.00
Mastizaade ,17.75,30.00
SaalaKhadoos ,7.00,22.00
KyaKoolHainHum ,26.91,28.00
Wazir ,35.18,45.00
BajiraoMastani,177.64,120.00
NannakuPrematho ,27.94,52.00
Dilwale,142.29,130.00
Tamasha,66.45,75.00
PremRatanDhanPayo(Hindi),190.02,140.00
Shandaar ,38.71,68.00
SinghisBliing ,74.87,92.00
Hero ,31.75,28.00
WelcomeBack ,96.88,100.00
Brothers ,77.18,82.00
Drishyam ,65.22,65.00
BajrangiBhaijaan,318.14,125.00
