"childid","l5cathol","l5public","r5race","w3povrty","w3daded","w3momed","w3inccat","p5fstamp","w3momscr","w3dadscr","p5numpla","p5hmage","p5hdage","c5r2mtsc","w3income","c5r2mtsc_std"
"0007009C",1,2,1,2,3,3,12,2,35.78,35.78,1,37,46,41.637,NA,-0.922940066927005
"0007010C",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.609,NA,-0.212630642158334
"0007013C",1,2,1,2,9,9,11,2,NA,77.5,1,42,45,67.783,NA,1.74082215625166
"0007015C",1,2,1,2,4,4,10,2,NA,35.92,1,27,30,53.501,NA,0.285767766615093
"0007016C",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.363,NA,0.271708285746178
"0007017C",1,2,1,2,9,6,12,2,NA,77.5,1,41,47,61.241,NA,1.07432125882816
"0007018C",1,2,1,2,8,6,12,2,61.56,62.87,1,40,39,57.185,NA,0.661094777637438
"0007020C",1,2,1,2,9,9,10,2,61.56,72.1,1,35,52,64.364,NA,1.39249342370948
"0007022C",1,2,1,2,5,6,10,2,52.54,53.5,NA,38,48,59.207,NA,0.86709673645589
"0007023C",1,2,1,2,3,6,10,2,NA,53.5,1,34,39,60.025,NA,0.950434818707865
"0009001C",-1,1,1,1,-1,2,2,1,38.18,NA,1,29,NA,41.985,NA,-0.887485723866262
"0009002C",-1,1,1,1,3,3,3,-9,34.95,NA,NA,36,43,43.598,NA,-0.723152806173797
"0009003C",-1,1,1,2,3,8,11,2,63.43,35.92,1,37,49,44.731,NA,-0.607722430634081
"0009005C",-1,1,1,1,3,4,4,1,33.42,39.2,1,38,38,49.884,NA,-0.0827332645650962
"0009007C",-1,1,1,2,3,4,4,2,NA,35.92,1,31,34,34.44,NA,-1.65617255832978
"0009008C",-1,1,1,2,3,3,10,2,33.42,39.2,1,36,39,42.962,NA,-0.787948674526189
"0009009C",-1,1,1,2,5,3,7,2,38.18,38.18,1,31,30,52.571,NA,0.191019091194143
"0009010C",-1,1,1,2,3,3,11,2,33.42,34.95,1,35,41,55.383,NA,0.477506483972328
"0009012C",-1,1,1,2,3,5,9,2,35.78,53.5,1,32,NA,44.193,NA,-0.66253402996362
"0009013C",-1,1,1,2,3,5,12,2,53.5,33.42,1,35,40,60.096,NA,0.957668319734626
"0009014C",-1,1,1,2,3,3,11,2,53.5,39.18,1,34,45,48.597,NA,-0.213853205712153
"0009017C",-1,1,1,2,-1,3,4,1,29.6,NA,1,40,NA,52.825,NA,0.21689668641664
"0009018C",-1,1,1,2,4,3,9,2,34.95,39.18,1,43,41,35.802,NA,-1.51741159497135
"0009019C",-1,1,1,2,3,7,7,2,35.78,NA,1,47,48,27.545,NA,-2.35863720029478
"0009020C",-1,1,1,2,3,4,7,2,34.95,29.6,1,30,29,33.829,NA,-1.71842141927838
"0009022C",-1,1,1,2,6,6,10,2,63.43,63.43,1,38,36,66.911,NA,1.6519825380075
"0009024C",-1,1,1,2,3,3,10,2,35.78,39.2,1,34,37,56.95,NA,0.637152908041821
"0009026C",-1,1,1,2,3,8,11,2,63.43,35.92,1,37,49,43.744,NA,-0.70827828293567
"0010001C",-1,1,1,2,3,4,9,2,NA,33.42,1,34,31,39.482,NA,-1.14249210513361
"0010002C",-1,1,1,2,-1,5,4,2,61.56,NA,1,28,NA,56.505,NA,0.591816176254377
"0010003C",-1,1,1,1,3,5,3,1,34.95,35.92,1,35,39,54.888,NA,0.427075737377306
"0010004C",-1,1,1,1,2,-1,1,1,NA,34.95,1,NA,48,53.847,NA,0.321018349083533
"0010006C",-1,1,1,2,3,2,6,2,34.95,38.18,1,37,37,45.098,NA,-0.570332361946459
"0010007C",-1,1,1,2,3,3,7,2,NA,35.78,1,33,37,45.357,NA,-0.543945365243205
"0010008C",-1,1,1,2,3,3,5,2,34.95,29.6,2,29,33,27.493,NA,-2.36393497569466
"0010009C",-1,1,1,1,-1,3,2,1,34.95,NA,2,39,NA,52.302,NA,0.163613291529374
"0010010C",-1,1,1,1,-1,3,2,1,NA,NA,1,29,NA,40.73,NA,-1.01534549553647
"0010011C",-1,1,1,1,3,3,1,2,34.95,39.18,1,30,31,47.341,NA,-0.341814857678511
"0010012C",-1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.467,NA,-0.227097644211856
"0010015C",-1,1,1,2,3,4,11,2,33.42,34.95,1,39,44,48.33,NA,-0.241055244784619
"0010016C",-1,1,1,2,3,3,9,2,34.95,53.5,1,32,39,41.401,NA,-0.946983816818773
"0010017C",NA,NA,1,2,6,3,10,2,53.5,62.87,1,51,49,44.028,NA,-0.679344278828627
"0010018C",-1,1,1,2,9,6,12,2,61.56,59,1,48,48,63.365,NA,1.29071500785407
"0010019C",-1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.269,NA,0.567772426362609
"0010020C",-1,1,1,2,3,4,5,2,38.18,35.92,1,29,30,37.569,NA,-1.33738911167155
"0010022C",-1,1,7,1,-1,5,4,2,NA,NA,1,44,NA,47.232,NA,-0.352919809959031
"0010024C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.323,NA,-0.853050183767035
"0011002C",-1,1,1,2,4,5,10,2,34.95,33.42,1,34,38,54.204,NA,0.35738961480964
"0011003C",-1,1,1,2,3,4,11,2,34.95,35.78,2,35,43,61.28,NA,1.07829459037807
"0011004C",-1,1,1,2,6,8,12,2,59,35.63,1,43,49,60.838,NA,1.03326349947908
"0011006C",-1,1,1,2,3,5,5,2,NA,39.2,1,39,36,50.8,NA,0.0105890867097317
"0011007C",-1,1,1,2,3,4,11,2,34.95,33.42,1,40,43,55.124,NA,0.451119487269074
"0011008C",-1,1,1,2,2,4,7,2,38.18,53.5,NA,29,40,48.19,NA,-0.255318486245838
"0011009C",-1,1,1,2,3,3,10,2,34.95,39.2,1,34,39,44.839,NA,-0.596719358649712
"0011010C",-1,1,1,2,3,5,9,2,38.18,39.2,1,34,40,44.921,NA,-0.588365174365285
"0011011C",-1,1,1,2,2,5,10,2,53.5,39.18,1,37,39,50.489,NA,-0.0210956853934032
"0011012C",-1,1,1,2,3,-1,6,2,NA,35.92,1,NA,45,48.394,NA,-0.23453490583092
"0011013C",-1,1,1,2,3,3,9,2,34.95,38.18,1,46,47,68.39,NA,1.80266349601566
"0011014C",-1,1,1,2,5,4,9,2,57.83,39.2,1,34,37,49.496,NA,-0.122262819471901
"0011017C",-1,1,1,2,6,5,9,2,34.95,39.18,1,38,39,59.002,NA,0.846211275744821
"0011018C",-1,1,1,1,3,3,4,2,35.78,NA,1,30,34,46.051,NA,-0.473240439714022
"0011019C",-1,1,1,2,5,5,10,2,35.78,53.5,1,39,37,49.446,NA,-0.127356834279479
"0011020C",-1,1,3,2,-1,4,11,2,34.95,NA,NA,35,NA,58.752,NA,0.820741201706931
"0011021C",-1,1,1,2,3,3,12,2,53.5,53.5,1,40,42,42.981,NA,-0.786012948899309
"0011022C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.001,NA,-0.987735935279397
"0011023C",-1,1,1,2,3,5,10,2,38.18,63.43,1,32,37,49.277,NA,-0.144574604329093
"0011024C",-1,1,1,2,6,6,12,2,38.18,35.78,1,35,35,64.616,NA,1.41816725833967
"0013001C",NA,NA,1,2,5,8,10,2,59,64.89,1,45,46,55.172,NA,0.456009741484348
"0013003C",NA,NA,1,2,5,-1,9,2,NA,35.78,1,NA,45,63.014,NA,1.25495502390488
"0013005C",NA,NA,1,2,5,6,12,2,35.78,53.5,1,44,46,51.221,NA,0.053480691389538
"0013006C",NA,NA,1,2,9,9,13,2,59,77.5,1,44,45,57.811,NA,0.724871843028313
"0013007C",-1,1,1,2,6,6,12,2,63.43,63.43,1,45,46,52.723,NA,0.20650489620918
"0013008C",NA,NA,1,2,8,8,11,2,61.56,57.83,1,36,35,74.907,NA,2.46661738603537
"0013009C",-1,1,1,2,9,8,10,2,63.43,62.87,1,51,47,51.895,NA,0.12214801099569
"0014001C",-1,1,1,2,5,5,9,2,35.92,34.95,1,35,37,58.477,NA,0.792724120265252
"0014002C",-1,1,1,2,5,5,9,2,38.18,39.18,1,36,35,42.011,NA,-0.884836836166321
"0014003C",-1,1,1,2,3,3,7,-9,NA,37.67,NA,36,38,52.957,NA,0.230344885508645
"0015001C",-1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.594,NA,0.397122930308748
"0015003C",-1,1,1,2,4,3,9,2,38.18,53.5,1,35,37,57.2,NA,0.662622982079711
"0015004C",-1,1,1,1,5,3,4,2,35.92,34.95,3,29,32,35.879,NA,-1.50956681216768
"0015006C",-1,1,1,2,3,6,8,2,38.18,35.92,1,41,55,52.727,NA,0.206912417393786
"0015007C",-1,1,1,1,-1,3,4,1,34.95,NA,2,30,NA,44.301,NA,-0.651530957979251
"0015009C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444,NA,-1.04448326023581
"0015010C",1,2,1,2,-1,5,5,2,38.18,NA,1,35,NA,62.417,NA,1.1941324871024
"0015011C",NA,NA,1,2,5,-1,10,2,NA,38.18,1,NA,33,69.738,NA,1.93999813522796
"0015014C",-1,1,1,2,5,6,10,2,59,48.69,1,35,36,51.634,NA,0.0955572537001324
"0015015C",NA,NA,1,2,3,5,10,2,52.54,53.5,2,34,39,58.018,NA,0.745961064331686
"0015017C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.624,NA,-2.3505886568988
"0015019C",-1,1,1,2,5,6,8,2,34.95,29.6,1,35,38,61.212,NA,1.07136673023977
"0015020C",-1,1,1,2,8,7,8,2,34.95,38.18,1,39,54,53.151,NA,0.250109662962048
"0015021C",-1,1,1,1,3,2,3,2,NA,34.95,1,41,46,24.674,NA,-2.6511355305459
"0015022C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.809,NA,-1.92421961750453
"0015023C",-1,1,1,1,-1,3,2,2,35.92,NA,1,34,NA,38.32,NA,-1.26087700926173
"0015024C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.187,NA,-0.459384719437411
"0015025C",-1,1,1,1,-1,5,3,1,NA,NA,2,39,NA,51.874,NA,0.120008524776507
"0015026C",-1,1,1,2,8,6,9,2,63.43,52.54,1,36,39,59.455,NA,0.892363049901477
"0016001C",-1,1,1,1,-1,3,2,1,33.42,NA,2,38,NA,61.443,NA,1.09490107865078
"0016004C",-1,1,1,2,3,3,6,2,35.78,35.92,1,39,35,35.856,NA,-1.51191005897917
"0016008C",-1,1,1,1,3,2,4,1,35.63,29.6,1,31,38,21.748,NA,-2.94923727708537
"0016009C",-1,1,1,2,3,3,8,2,53.5,35.92,NA,38,40,31.317,NA,-1.9743447232111
"0020001C",-1,1,1,2,4,4,9,2,34.95,39.2,1,29,36,41.462,NA,-0.940769118753527
"0020002C",-1,1,1,2,6,5,9,2,NA,35.63,1,27,33,48.042,NA,-0.270396770076268
"0020003C",-1,1,1,2,6,3,8,2,38.18,39.2,1,44,50,56.234,NA,0.564206615997305
"0020004C",-1,1,1,2,3,4,10,2,35.92,35.92,1,31,38,35.787,NA,-1.51893979941363
"0020005C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.885,NA,-0.286391976572063
"0020006C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.816,NA,-0.599062605461198
"0020007C",-1,1,6,2,5,5,6,2,38.18,39.2,1,38,45,51.123,NA,0.0434964223666853
"0020008C",-1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.95,NA,-0.891051534231567
"0020010C",-1,1,5,2,8,6,7,2,34.95,53.5,1,51,53,52.439,NA,0.177570892102138
"0020013C",-1,1,1,2,3,5,8,2,38.18,29.6,1,32,49,42.188,NA,-0.866804023747496
"0020014C",-1,1,1,2,6,3,11,2,64.89,52.54,1,38,41,57.169,NA,0.659464692899012
"0020016C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.051,NA,-0.982641920471818
"0020018C",-1,1,1,2,3,7,11,2,63.43,35.63,1,42,41,21.812,NA,-2.94271693813167
"0020019C",-1,1,1,1,-1,3,4,2,38.18,NA,1,31,NA,61.107,NA,1.06066929914385
"0020020C",-1,1,1,1,3,3,5,2,NA,NA,1,35,45,52.852,NA,0.219647454412731
"0020022C",-1,1,1,2,5,3,6,2,34.95,39.2,NA,41,47,54.58,NA,0.395696606162626
"0020024C",-1,1,1,2,3,3,10,2,38.18,39.18,1,30,26,34.803,NA,-1.61919001082676
"0021001C",-1,1,1,1,3,3,2,2,34.95,53.5,1,40,35,48.624,NA,-0.211102437716061
"0021002C",-1,1,1,2,2,3,7,2,38.18,39.18,1,44,58,50.647,NA,-0.00499859860145674
"0022001C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.337,NA,-0.953504155772472
"0022002C",-1,1,1,2,7,5,11,2,NA,53.5,1,46,44,42.703,NA,-0.814335671229443
"0022003C",-1,1,1,2,3,4,6,2,NA,29.6,1,32,33,38.504,NA,-1.24213103476984
"0022004C",-1,1,1,2,3,3,8,2,NA,53.5,1,53,59,34.102,NA,-1.690608098429
"0022005C",-1,1,1,2,8,5,7,2,NA,53.5,1,36,39,51.74,NA,0.106356565092198
"0022006C",-1,1,1,2,2,3,9,2,53.5,34.95,1,32,40,50.852,NA,0.0158868621096127
"0022007C",-1,1,1,2,3,3,5,2,NA,35.92,1,35,38,31.071,NA,-1.99940727606438
"0022008C",-1,1,1,1,3,3,4,2,34.95,37.67,1,32,31,52.024,NA,0.135290569199241
"0022009C",-1,1,1,1,-1,3,3,1,NA,NA,2,29,NA,47.437,NA,-0.332034349247962
"0022010C",-1,1,1,1,4,7,5,2,63.43,NA,1,32,45,41.155,NA,-0.972046369672056
"0022012C",-1,1,1,2,4,3,8,2,34.95,39.18,1,30,30,40.054,NA,-1.08421657573492
"0022013C",-1,1,1,2,5,5,10,2,38.18,53.5,1,37,44,57.386,NA,0.681572717163901
"0022014C",-1,1,1,2,5,4,8,2,38.18,59,NA,34,35,50.929,NA,0.0237316449132833
"0022016C",-1,1,1,2,6,3,12,2,63.43,39.18,1,40,39,36.914,NA,-1.40412070565082
"0022017C",-1,1,1,2,3,3,11,2,53.5,39.18,2,32,35,44.647,NA,-0.616280375510812
"0022018C",-1,1,1,1,6,5,5,1,38.18,37.67,1,38,42,60.34,NA,0.982527111995607
"0022019C",-1,1,1,2,-1,5,7,2,72.1,NA,1,39,NA,54.939,NA,0.432271632481035
"0022020C",-1,1,1,2,3,4,6,2,34.95,29.6,1,29,30,32.76,NA,-1.8273314558644
"0022023C",-1,1,1,1,-1,4,3,2,57.83,NA,1,40,NA,59.553,NA,0.902347318924329
"0022024C",-1,1,1,2,6,9,12,2,77.5,64.89,1,46,48,55.206,NA,0.459473671553502
"0023001C",-1,1,1,2,2,3,6,2,39.2,39.2,1,34,37,55.026,NA,0.441135218246221
"0023002C",-1,1,1,2,2,-1,7,2,NA,39.2,1,NA,40,40.834,NA,-1.00474994473671
"0023003C",-1,1,1,2,5,6,11,2,35.78,35.78,1,41,41,55.98,NA,0.538329020774808
"0023005C",-1,1,1,2,7,-1,8,2,NA,34.95,1,NA,37,50.174,NA,-0.0531879786811441
"0023006C",-1,1,1,2,3,3,8,2,38.18,39.18,1,36,37,34.321,NA,-1.66829631357181
"0023007C",-1,1,1,2,3,4,10,2,35.78,38.18,1,34,38,47.631,NA,-0.312269571794559
"0023010C",-1,1,1,2,5,6,8,2,63.43,34.95,1,35,50,45.424,NA,-0.53711938540105
"0023011C",-1,1,1,2,2,5,8,2,34.95,39.2,3,33,33,52.562,NA,0.190102168528779
"0023012C",-1,1,1,2,6,3,10,2,38.18,64.89,1,41,46,56.549,NA,0.596298909285046
"0023013C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.115,NA,-0.568600396911882
"0023015C",-1,1,1,2,3,6,10,2,53.5,35.92,1,39,37,64.18,NA,1.37374744921759
"0023016C",-1,1,1,2,5,6,11,2,59,34.95,1,41,39,58.489,NA,0.79394668381907
"0023017C",-1,1,1,2,-1,5,6,2,61.56,NA,1,33,NA,62.526,NA,1.20523743938292
"0023018C",-1,1,1,2,-1,6,8,2,53.5,NA,1,43,NA,66.029,NA,1.56212411680183
"0023019C",-1,1,1,1,3,3,3,1,NA,35.63,1,34,38,53.478,NA,0.283424519803608
"0023020C",-1,1,1,2,5,5,9,2,38.18,34.95,1,37,40,45.163,NA,-0.563710142696608
"0023021C",-1,1,1,2,3,3,8,2,38.18,39.18,1,33,32,47.773,NA,-0.297802569741037
"0023022C",-1,1,1,2,-1,5,7,2,38.18,NA,1,39,NA,55.631,NA,0.502772797417914
"0023023C",-1,1,1,2,3,-1,5,2,NA,35.63,1,NA,41,52.007,NA,0.133558604164664
"0023024C",-1,1,1,2,-1,3,4,1,35.78,NA,1,36,NA,28.757,NA,-2.23515828135909
"0023025C",-1,1,1,2,2,-1,7,2,NA,39.2,1,NA,40,43.65,NA,-0.717855030773916
"0024001C",-1,1,1,2,-1,5,9,2,61.56,NA,1,47,NA,54.484,NA,0.385916097732076
"0024002C",2,2,1,2,5,4,10,2,NA,53.5,1,37,39,52.696,NA,0.203754128213088
"0024004C",-1,1,1,2,8,8,12,2,72.1,63.43,1,50,47,62.321,NA,1.18435197867185
"0024005C",NA,NA,1,2,9,8,12,2,NA,77.5,1,41,42,65.225,NA,1.48021235869597
"0024007C",2,2,1,2,9,8,12,2,NA,77.5,1,43,40,56.184,NA,0.559112601189726
"0024011C",-1,1,1,2,5,5,6,2,34.95,53.5,1,24,24,49.671,NA,-0.104433767645378
"0024016C",2,2,1,2,9,9,11,2,NA,72.1,1,45,51,48.943,NA,-0.178602623243714
"0024018C",2,2,1,2,9,9,11,2,72.1,72.1,1,46,44,62.908,NA,1.24415571251281
"0025001C",-1,1,3,2,9,8,12,2,53.5,72.1,1,38,41,60.915,NA,1.04110828228275
"0025003C",-1,1,1,2,-1,5,5,2,38.18,NA,1,37,NA,59.134,NA,0.859659474836826
"0025005C",-1,1,1,2,6,6,11,2,63.43,64.89,1,44,44,56.559,NA,0.597317712246561
"0025007C",-1,1,1,1,2,3,3,2,NA,35.92,1,29,38,36.392,NA,-1.45730222024193
"0025009C",-1,1,8,1,5,5,3,1,NA,34.95,3,30,34,44.441,NA,-0.637267716518033
"0025011C",-1,1,1,1,3,3,2,1,NA,NA,3,36,37,52.965,NA,0.231159927877858
"0025014C",-1,1,1,1,-1,5,3,1,34.95,NA,1,31,NA,41.291,NA,-0.958190649395445
"0025016C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.077,NA,0.0388099287437137
"0025018C",-1,1,1,2,5,4,9,2,53.5,38.18,1,34,34,48.807,NA,-0.192458343520325
"0025020C",-1,1,1,2,4,3,10,2,35.78,39.18,1,37,39,36.482,NA,-1.44813299358829
"0025021C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.759,NA,-0.1973485977356
"0025022C",-1,1,3,1,-1,2,2,1,53.5,NA,1,42,NA,44.977,NA,-0.582659877780798
"0025023C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.058,NA,0.138754499268393
"0025024C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.297,NA,-2.68954440219504
"0026001C",-1,1,1,2,-1,5,9,2,48.69,NA,1,42,NA,52.731,NA,0.207319938578393
"0026002C",-1,1,1,2,5,-1,8,2,NA,64.89,1,NA,44,47.643,NA,-0.31104700824074
"0026005C",-1,1,1,2,6,6,9,2,52.54,35.63,1,42,42,74.248,NA,2.39947827087149
"0026006C",-1,1,1,1,3,3,4,2,NA,35.92,1,27,29,53.845,NA,0.32081458849123
"0026007C",-1,1,1,2,5,6,7,2,NA,38.18,1,50,57,43.467,NA,-0.736499124969652
"0026008C",-1,1,1,2,5,8,11,2,38.18,53.5,1,46,41,57.313,NA,0.674135455544837
"0026010C",-1,1,1,2,6,-1,10,2,NA,53.5,2,NA,52,55.619,NA,0.501550233864096
"0026011C",-1,1,1,2,7,7,10,2,53.5,63.43,3,46,48,59.292,NA,0.875756561628773
"0026014C",-1,1,1,2,5,5,9,2,38.18,39.2,1,37,41,50.512,NA,-0.018752438581917
"0026015C",-1,1,1,2,2,3,10,2,38.18,39.2,1,46,44,46.613,NA,-0.415983713276846
"0028001C",1,2,8,2,6,6,10,2,61.56,53.5,1,35,37,45.252,NA,-0.554642796339118
"0028002C",1,2,1,2,9,9,10,2,77.5,77.5,1,45,46,58.224,NA,0.766948405338907
"0028003C",1,2,1,2,6,5,10,2,38.18,39.2,1,38,38,57.484,NA,0.691556986186754
"0028004C",1,2,1,2,4,5,10,2,NA,33.42,1,46,51,52.854,NA,0.219851215005034
"0028005C",1,2,1,2,-1,3,9,2,38.18,NA,2,32,NA,57.327,NA,0.675561779690959
"0028006C",1,2,1,2,9,6,10,2,38.18,77.5,1,42,46,47.66,NA,-0.309315043206164
"0028007C",1,2,1,2,6,6,11,2,61.56,61.56,1,41,41,56.111,NA,0.551675339570663
"0028008C",1,2,1,2,3,3,9,2,38.18,39.2,1,36,40,44.09,NA,-0.67302770046723
"0028009C",1,2,1,2,6,6,11,2,63.43,64.89,1,38,45,55.635,NA,0.50318031860252
"0028010C",1,2,1,2,8,6,10,2,63.43,59,1,40,45,63.876,NA,1.34277583918752
"0028011C",1,2,1,2,3,3,9,2,53.5,38.18,1,40,42,41.28,NA,-0.959311332653111
"0028012C",1,2,1,2,8,8,12,2,61.56,53.5,1,44,42,59.532,NA,0.900207832705146
"0028013C",1,2,1,2,5,8,10,2,NA,64.89,1,48,45,56.14,NA,0.554629868159058
"0028014C",1,2,1,2,3,3,10,2,38.18,39.2,1,33,41,52.433,NA,0.176959610325228
"0029002C",-1,1,1,2,3,3,10,2,38.18,48.69,1,34,32,40.093,NA,-1.08024324418501
"0029003C",-1,1,1,2,5,3,9,2,34.95,53.5,1,32,39,50.493,NA,-0.0206881642087965
"0029004C",-1,1,1,2,6,6,10,2,61.56,35.63,2,49,46,60.809,NA,1.03030897089069
"0029007C",-1,1,1,2,3,6,10,2,38.18,39.2,1,43,48,52.975,NA,0.232178730839373
"0029009C",-1,1,1,2,6,5,6,2,35.78,39.2,1,38,42,62.614,NA,1.21420290544425
"0029012C",-1,1,1,2,5,5,12,2,63.43,64.89,1,42,46,61.758,NA,1.12699337193852
"0029013C",-1,1,1,2,5,4,12,2,35.78,35.78,1,38,41,48.06,NA,-0.26856292474554
